scenario_id,scenario_name,folder,status,trigger,systems,business_flow,gos_replacement,still_missing_in_gos,recommendation,reason,runs_sampled,errors,last_run,MY_DECISION,MY_NOTES
"430326","שליחת מייל אישור עדכני","(no folder)","live","Webhook — שליחת מייל אישור עדכני","Website / incoming form","receives a form/web submission → calls another automation / external service","Confirmation Email module","","Replace inside GOS","Live, and GOS already covers it completely. Disable after a 48h parity watch.","30","0","2026-07-30T08:42:36.442Z","",""
"430338","ביטול פולואפ מהמייל > עדכון לפייפדרייב","(no folder)","active but idle","Webhook — ביטול פולואפים מהמייל","Website / incoming form · Pipedrive","receives a form/web submission → reads deals from Pipedrive → branches on conditions → updates the deal in Pipedrive","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"4698828","דחייה ללא תאריך","(no folder)","active but idle","Webhook — דחייה ללא תאריך","Website / incoming form · Airtable","receives a form/web submission → looks up an Airtable record → updates an Airtable record","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"430312","הוצאת חשבונית לתשלום חוזרת מפייפדרייב לאייקאונט + שליחה ללקוח","(no folder)","active but idle","Webhook — יצירת חשבונית חדשה מפייפדרייב","Website / incoming form · Pipedrive · iCount · Gmail","receives a form/web submission → reads deals from Pipedrive → reads/writes Pipedrive → handles deal products in Pipedrive → issues an accounting document (iCount) → calls another automation / external service → reads/writes Pipedrive → updates the deal in Pipedrive → sends an email","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"601178","התראה לאלינוי על פעולות במייק","(no folder)","active but idle","Incoming email","WhatsApp (Wassenger)","receives an incoming email → branches on conditions → sends a WhatsApp message","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"445156","[טופל]שליחת מייל מיידי","(no folder)","active but idle","Incoming email","Pipedrive · Airtable · Gmail","receives an incoming email → reads deals from Pipedrive → looks up the contact in Pipedrive → branches on conditions → looks up an Airtable record → branches on conditions → sends an email → writes a note on the Pipedrive deal","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"430314","טופס איחוד אירועים מעדכן יומן ופייפדרייב (אירועים מרובים בטופס אחד)","(no folder)","active but idle","Webhook — טופס איחוד אירועים - מרובה אירועים","Website / incoming form · Airtable · Google Calendar · Pipedrive · Google Sheets · Google Drive","receives a form/web submission → looks up an Airtable record → branches on conditions → reads the calendar → deletes the calendar event → looks for an existing company in Pipedrive → branches on conditions → reads deals from Pipedrive → looks for an existing company in Pipedrive → reads deals from Pipedrive → reads a Google Sheet → writes a row to a Google Sheet → reads deals from Pipedrive → branches on conditions → handles a Drive file → updates the deal in Pipedrive → reads deals from Pipedrive → reads the calendar → updates the calendar event → branches on conditions → loops over items → looks up an Airtable record → reads the calendar → calls another automation / external service","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"430339","טופס איחוד אירועים מעדכן יומן ופייפדרייב (המשך אם יש אירועים מרובים)","(no folder)","active but idle","Webhook — טופס איחוד אירועים (המשך אם יש אירועים מרובים)","Website / incoming form · Google Calendar · Pipedrive · Google Sheets · Google Drive","receives a form/web submission → deletes the calendar event → looks for an existing company in Pipedrive → branches on conditions → reads deals from Pipedrive → looks for an existing company in Pipedrive → reads deals from Pipedrive → reads a Google Sheet → writes a row to a Google Sheet → reads deals from Pipedrive → branches on conditions → handles a Drive file → updates the deal in Pipedrive → reads deals from Pipedrive → reads the calendar → updates the calendar event","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"445168","כפתור באיירטייבל להוספת ניסוח מייל מיידי","(no folder)","active but idle","Webhook — הוספת מייל מיידי חדש בכפתור איירטייבל","Website / incoming form · Airtable · Pipedrive","receives a form/web submission → looks up an Airtable record → reads/writes Pipedrive → loops over items → reads/writes Pipedrive → updates an Airtable record","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"430342","לקוח מאשר תאריך חלופי > עדכון לפייפדרייב","(no folder)","active but idle","Webhook — לקוח עסקי מאשר שינוי תאריך/שעה","Website / incoming form · Pipedrive · Gmail","receives a form/web submission → reads deals from Pipedrive → branches on conditions → updates the deal in Pipedrive → writes a note on the Pipedrive deal → sends an email → writes a note on the Pipedrive deal","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"3190312","מחיקת הודעות וואצאפ מהפייפ ומאיירטייבל","(no folder)","active but idle","Webhook — כפתור למחיקת ערך בשדה דרופדאון בפייפ","Website / incoming form · Airtable · Pipedrive","receives a form/web submission → looks up an Airtable record → reads/writes Pipedrive → deletes an Airtable record","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"430334","מילוי טופס פורמס שיחות מכירה מעדכן פייפדרייב","(no folder)","active but idle","Webhook — טופס פורמס תסריט שיחת מכירה","Website / incoming form · Pipedrive","receives a form/web submission → writes a note on the Pipedrive deal → updates the deal in Pipedrive","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"430330","מילוי טופס שיחת משוב בפורמס > עדכון לאיירטייבל ולפייפדרייב","(no folder)","active but idle","Webhook — גוגל פורמס שיחות משוב","Website / incoming form · Airtable · Pipedrive","receives a form/web submission → branches on conditions → looks up an Airtable record → updates an Airtable record → reads deals from Pipedrive → writes a note on the Pipedrive deal","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"430311","מענה על שאלון לקראת פעילות מעדכן קובץ שיטס ופייפדרייב","(no folder)","active but idle","Webhook — שאלון לקראת פעילות","Website / incoming form · Pipedrive · Google Sheets · Google Drive","receives a form/web submission → branches on conditions → reads deals from Pipedrive → branches on conditions → handles deal products in Pipedrive → branches on conditions → reads a Google Sheet → writes a row to a Google Sheet → handles a Drive file → writes a row to a Google Sheet → updates the deal in Pipedrive → looks for an existing company in Pipedrive → updates the deal in Pipedrive → reads a Google Sheet → writes a row to a Google Sheet → handles a Drive file → writes a row to a Google Sheet → updates the deal in Pipedrive → looks for an existing company in Pipedrive → updates the deal in Pipedrive → handles deal products in Pipedrive → reads a Google Sheet → branches on conditions → writes a row to a Google Sheet → branches on conditions → writes a row to a Google Sheet","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"430332","עדכון מהמייל על ביטול תזכורת תשלום ללקוח","(no folder)","active but idle","Webhook — ביטול תזכורת תשלום ללקוח מהמייל","Website / incoming form · Pipedrive","receives a form/web submission → updates the deal in Pipedrive","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"430351","שינוי תאריך/שעה - שליחה ללקוח לאישור ועדכון ליומן אם כבר יש אירוע","(no folder)","active but idle","Webhook — שינוי תאריך/שעה לדיל לקוח עסקי","Website / incoming form · Pipedrive · Airtable · Gmail · Google Calendar","receives a form/web submission → reads deals from Pipedrive → branches on conditions → reads/writes Pipedrive → looks up the contact in Pipedrive → handles deal products in Pipedrive → normalises the Israeli phone number → updates the deal in Pipedrive → looks up an Airtable record → sends an email → looks up an Airtable record → reads the calendar → looks up an Airtable record → updates the calendar event → sends an email → looks up the contact in Pipedrive → handles deal products in Pipedrive → normalises the Israeli phone number → sends an email → writes a note on the Pipedrive deal → looks up an Airtable record → reads the calendar → looks up an Airtable record → updates the calendar event → sends an email","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"1914956","תשובות של טופס עדכון איש כספים ואיש שנוכח בפעילות\","(no folder)","active but idle","Webhook — טופס עדכון פרטים","Website / incoming form · Airtable · Pipedrive","receives a form/web submission → looks up an Airtable record → reads deals from Pipedrive → updates an Airtable record → writes a note on the Pipedrive deal → branches on conditions → reads/writes Pipedrive → branches on conditions → creates the contact in Pipedrive → reads/writes Pipedrive → branches on conditions → creates the contact in Pipedrive → updates the deal in Pipedrive","","Confirm with the business whether this path should still carry traffic","Requires my decision","Active but no runs in the retained window — cannot tell ""no traffic"" from ""silently broken"".","0","0","","",""
"2084319","CHECK EVENT IN GGOGLE CALENDAR","(no folder)","inactive","Scheduled every 15 min","Google Calendar","reads the calendar","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"3711041","Integration Airtable","(no folder)","inactive","Scheduled every 15 min","Airtable","looks up an Airtable record","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"2066050","Integration Bitly","(no folder)","inactive","Scheduled every 15 min","Pipedrive · Link shortener","looks up the contact in Pipedrive → shortens a link","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"4498021","Integration Facebook Lead Ads","(no folder)","inactive","Facebook/Instagram lead form","Facebook Lead Ads","receives a Facebook/Instagram lead","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"3136312","Integration Pipedrive CRM","(no folder)","inactive","Scheduled every 15 min","Pipedrive","reads/writes Pipedrive","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"3170013","Integration Pipedrive CRM","(no folder)","inactive","Scheduled every 15 min","Pipedrive","reads/writes Pipedrive","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"3225208","Integration Pipedrive CRM","(no folder)","inactive","Scheduled every 15 min","Pipedrive","reads/writes Pipedrive","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"4452731","Integration Pipedrive CRM","(no folder)","inactive","Scheduled every 15 min","Pipedrive","handles deal products in Pipedrive","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"4452753","Integration Pipedrive CRM","(no folder)","inactive","Scheduled every 15 min","Pipedrive","handles deal products in Pipedrive","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"3823009","Integration Pipedrive CRM, Airtable","(no folder)","inactive","Scheduled every 15 min","Pipedrive · Airtable","reads deals from Pipedrive → looks up an Airtable record → updates an Airtable record","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"3086104","Integration Pipedrive CRM, Tools","(no folder)","inactive","Scheduled every 15 min","Pipedrive","reads/writes Pipedrive","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"3857770","Integration Short.io","(no folder)","inactive","Scheduled every 15 min","Link shortener","shortens a link","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"1984383","Integration Wassenger","(no folder)","inactive","Scheduled every 15 min","WhatsApp (Wassenger)","sends a WhatsApp message","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"2686481","Integration Webhooks","(no folder)","inactive","Webhook — New contact in wassenger","Website / incoming form","receives a form/web submission","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"1927699","Replace Connections Across Make Account [Airtable]","(no folder)","inactive","Scheduled every 15 min","","(no readable steps — blueprint empty or unusual)","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"4631786","הבאת סיורים להכשרת מדריכים","(no folder)","inactive","Webhook — incoming form/system call","Website / incoming form · Airtable","receives a form/web submission → looks up an Airtable record → calls another automation / external service","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"454247","חיפוש אירוע ביומן","(no folder)","inactive","Scheduled every 15 min","Airtable · Google Calendar","looks up an Airtable record → branches on conditions → reads the calendar","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430327","טופס איחוד אירועים מעדכן יומן ופייפדרייב","(no folder)","inactive","Webhook — טופס איחוד אירועים","Website / incoming form · Airtable · Google Calendar · Pipedrive · Google Sheets · Google Drive","receives a form/web submission → looks up an Airtable record → branches on conditions → reads the calendar → deletes the calendar event → looks for an existing company in Pipedrive → branches on conditions → reads deals from Pipedrive → looks for an existing company in Pipedrive → reads deals from Pipedrive → reads a Google Sheet → writes a row to a Google Sheet → reads deals from Pipedrive → branches on conditions → handles a Drive file → updates the deal in Pipedrive → reads deals from Pipedrive → reads the calendar → updates the calendar event","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430302","יצירת קישורים לסוכנויות ומפיקים","(no folder)","inactive","Scheduled every 15 min","Pipedrive · Link shortener","reads/writes Pipedrive → shortens a link → reads/writes Pipedrive","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"4038842","יצירת תיקייה בגוגל פוטוז","(no folder)","inactive","Webhook — יצירת תיקייה בגוגל פוטוז","Website / incoming form","receives a form/web submission","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430237","כל יום רביעי - משיכת מידע לקובץ נתוני קמפיינים","(no folder)","inactive","Scheduled (weekly)","Pipedrive · Google Sheets","reads deals from Pipedrive → reads/writes Pipedrive → handles deal products in Pipedrive → writes a row to a Google Sheet","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430350","לידים מקמפיין חידה בסמוב > נכנסים לפייפדרייב ומקבלים מייל+קופון","(no folder)","inactive","Webhook — קמפיין חידה - נרשמים מסמוב","Website / incoming form · Pipedrive · WooCommerce (website shop) · Gmail","receives a form/web submission → normalises the Israeli phone number → looks for an existing company in Pipedrive → branches on conditions → creates a website coupon → sends an email → branches on conditions → updates the contact in Pipedrive → reads/writes Pipedrive → branches on conditions → creates a deal in Pipedrive → writes a note on the Pipedrive deal → creates the contact in Pipedrive → creates a deal in Pipedrive","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430305","לקוחות עסקיים - מייל למשרד עבור תזכורות לתשלום","(no folder)","inactive","Scheduled (daily)","Pipedrive · Gmail","reads deals from Pipedrive → branches on conditions → sends an email","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430285","לקוחות עסקיים - מייל למשרד עבור תזכורות לתשלום (גיבוי)","(no folder)","inactive","Scheduled (daily)","Pipedrive · Gmail","reads deals from Pipedrive → branches on conditions → sends an email","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430287","לקוחות עסקיים - פולואפים אוטומטיים במייל (גיבוי)","(no folder)","inactive","Scheduled (daily)","Pipedrive · iCount · Airtable · Gmail","reads deals from Pipedrive → looks up the contact in Pipedrive → reads/writes Pipedrive → talks to iCount → calls another automation / external service → normalises the Israeli phone number → branches on conditions → looks up an Airtable record → sends an email → updates the deal in Pipedrive → looks up an Airtable record → sends an email → updates the deal in Pipedrive","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430284","לקוחות עסקיים - תזכורת לקראת פעילות + תזכורות לתשלום (ישן)","(no folder)","inactive","Scheduled (daily)","Pipedrive · Airtable · Link shortener · Gmail","reads deals from Pipedrive → looks up the contact in Pipedrive → handles deal products in Pipedrive → branches on conditions → reads/writes Pipedrive → branches on conditions → looks up an Airtable record → branches on conditions → looks up an Airtable record → shortens a link → sends an email → looks up an Airtable record → shortens a link → sends an email → looks up an Airtable record → branches on conditions → looks up an Airtable record → shortens a link → sends an email → looks up an Airtable record → shortens a link → sends an email → branches on conditions → sends an email → normalises the Israeli phone number → calls another automation / external service → sends an email → normalises the Israeli phone number → calls another automation / external service → branches on conditions → normalises the Israeli phone number → branches on conditions → sends an email → calls another automation / external service → sends an email → calls another automation / external service","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430269","לקוחות עסקיים - תזכורת לקראת פעילות + תזכורות לתשלום (שבת - ערב)","(no folder)","inactive","Scheduled (daily)","Pipedrive · Airtable · Link shortener · Gmail · WhatsApp (Wassenger)","reads deals from Pipedrive → looks up the contact in Pipedrive → handles deal products in Pipedrive → branches on conditions → reads/writes Pipedrive → branches on conditions → looks up an Airtable record → branches on conditions → looks up an Airtable record → shortens a link → sends an email → looks up an Airtable record → branches on conditions → looks up an Airtable record → shortens a link → sends an email → looks up an Airtable record → branches on conditions → looks up an Airtable record → shortens a link → sends an email → looks up an Airtable record → branches on conditions → looks up an Airtable record → shortens a link → sends an email → looks up an Airtable record → branches on conditions → looks up an Airtable record → shortens a link → sends an email → looks up an Airtable record → branches on conditions → looks up an Airtable record → shortens a link → sends an email → branches on conditions → sends an email → normalises the Israeli phone number → sends a WhatsApp message → sends an email → normalises the Israeli phone number → sends a WhatsApp message → branches on conditions → normalises the Israeli phone number → branches on conditions → sends an email → sends a WhatsApp message → sends an email → sends a WhatsApp message","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430268","לקוחות עסקיים - תזכורת לתשלום ביום הפעילות עבור הלקוח + המדריך","(no folder)","inactive","Scheduled (daily)","Pipedrive · Airtable · iCount · Gmail · WhatsApp (Wassenger)","reads deals from Pipedrive → looks up the contact in Pipedrive → reads/writes Pipedrive → branches on conditions → looks up an Airtable record → talks to iCount → calls another automation / external service → sends an email → looks up an Airtable record → talks to iCount → calls another automation / external service → sends an email → looks up an Airtable record → branches on conditions → calls another automation / external service → sends a WhatsApp message","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430276","לקוחות פרטיים ועסקיים (לא סוכנויות ומפיקים) - מייל+וואטסאפ חודש אחרי פעילות","(no folder)","inactive","Scheduled (daily)","Pipedrive · Airtable · Gmail · WhatsApp (Wassenger)","reads deals from Pipedrive → branches on conditions → handles deal products in Pipedrive → branches on conditions → looks up an Airtable record → branches on conditions → looks up the contact in Pipedrive → branches on conditions → sends an email → branches on conditions → sends an email → normalises the Israeli phone number → branches on conditions → sends a WhatsApp message → branches on conditions → sends a WhatsApp message → looks up an Airtable record → branches on conditions → looks up the contact in Pipedrive → branches on conditions → sends an email → branches on conditions → sends an email → normalises the Israeli phone number → branches on conditions → sends a WhatsApp message → branches on conditions → sends a WhatsApp message","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430318","לקוחות פרטיים ועסקיים - מייל+וואטסאפ יומיים אחרי פעילות לאנשים נוספים שמילאו שאלון","(no folder)","inactive","Webhook — My gateway-webhook webhook","Website / incoming form · Pipedrive · Airtable · Google Sheets · Gmail · WhatsApp (Wassenger)","receives a form/web submission → reads deals from Pipedrive → looks up an Airtable record → branches on conditions → reads a Google Sheet → sends an email → branches on conditions → reads a Google Sheet → sends an email → branches on conditions → reads a Google Sheet → normalises the Israeli phone number → sends a WhatsApp message → writes a row to a Google Sheet → branches on conditions → reads a Google Sheet → normalises the Israeli phone number → sends a WhatsApp message → writes a row to a Google Sheet","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430260","לקוחות פרטיים - מייל+וואטסאפ יומיים אחרי פעילות","(no folder)","inactive","Scheduled (daily)","Pipedrive · Airtable · WooCommerce (website shop) · Gmail · WhatsApp (Wassenger)","reads deals from Pipedrive → handles deal products in Pipedrive → branches on conditions → looks up an Airtable record → branches on conditions → creates a website coupon → looks up the contact in Pipedrive → branches on conditions → sends an email → branches on conditions → sends an email → normalises the Israeli phone number → branches on conditions → sends a WhatsApp message → branches on conditions → sends a WhatsApp message → calls another automation / external service","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430238","מדי לילה - משיכת נתוני סגירות דו""ח יומי לגיליון נתונים + שליחה בקבוצת וואטסאפ המצב היום","(no folder)","auto-disabled by outage","Scheduled (daily)","Pipedrive · Google Sheets · iCount · WhatsApp (Wassenger)","reads deals from Pipedrive → branches on conditions → writes a row to a Google Sheet → reads deals from Pipedrive → issues an accounting document (iCount) → talks to iCount → issues an accounting document (iCount) → talks to iCount → reads/writes Make storage → reads deals from Pipedrive → sends a WhatsApp message → branches on conditions → reads/writes Make storage","varies","Confirm whether the business still wants this behaviour at all","Requires my decision","Auto-disabled by Make during the Pipedrive 429 outage (2026-07-30..08-02), NOT by a decision.","31","2","2026-07-30T19:00:05.564Z","",""
"430297","מיזוג אנשי קשר פעם ביום","(no folder)","auto-disabled by outage","Scheduled (daily)","Pipedrive","looks up the contact in Pipedrive → normalises the Israeli phone number → looks for an existing company in Pipedrive → branches on conditions → calls another automation / external service","varies","Confirm whether the business still wants this behaviour at all","Requires my decision","Auto-disabled by Make during the Pipedrive 429 outage (2026-07-30..08-02), NOT by a decision.","30","2","2026-07-30T21:30:02.407Z","",""
"430300","מייל למשרד עם סיכום פולואפים למחר נשלח מדי ערב","(no folder)","auto-disabled by outage","Scheduled (daily)","Pipedrive · Gmail","reads deals from Pipedrive → reads/writes Pipedrive → branches on conditions → reads deals from Pipedrive → reads/writes Pipedrive → reads deals from Pipedrive → reads/writes Pipedrive → sends an email → reads deals from Pipedrive → reads/writes Pipedrive → reads deals from Pipedrive → reads/writes Pipedrive → sends an email → reads deals from Pipedrive → reads/writes Pipedrive → reads deals from Pipedrive → reads/writes Pipedrive → sends an email → reads deals from Pipedrive → reads/writes Pipedrive → reads deals from Pipedrive → reads/writes Pipedrive → sends an email → reads deals from Pipedrive → reads/writes Pipedrive → reads deals from Pipedrive → reads/writes Pipedrive → sends an email","varies","Confirm whether the business still wants this behaviour at all","Requires my decision","Auto-disabled by Make during the Pipedrive 429 outage (2026-07-30..08-02), NOT by a decision.","30","2","2026-07-30T17:00:06.219Z","",""
"430265","מייל למשרד עם סיכום תזכורות תשלום למחר נשלח מדי ערב","(no folder)","auto-disabled by outage","Scheduled (daily)","Pipedrive · Gmail","reads deals from Pipedrive → branches on conditions → reads/writes Pipedrive → sends an email","varies","Confirm whether the business still wants this behaviour at all","Requires my decision","Auto-disabled by Make during the Pipedrive 429 outage (2026-07-30..08-02), NOT by a decision.","30","2","2026-07-30T17:00:05.305Z","",""
"430280","מילוי טופס שיחת משוב בפורמס > עדכון לפייפדרייב רטרואקטיבי","(no folder)","inactive","Scheduled every 15 min","Google Sheets · Pipedrive","reads a Google Sheet → branches on conditions → reads deals from Pipedrive → writes a note on the Pipedrive deal","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"2580984"," סוכנויות ומפיקים - מייל שנה אחרי פעילות","(no folder)","inactive","Scheduled (daily)","Pipedrive","reads deals from Pipedrive → handles deal products in Pipedrive → calls another automation / external service","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430275","סיורים אתמול - העתקה לטבלת שיחות משוב באיירטייבל","(no folder)","inactive","Scheduled (daily)","Pipedrive · Airtable","reads deals from Pipedrive → handles deal products in Pipedrive → reads/writes Pipedrive → creates an Airtable record → looks up an Airtable record → updates an Airtable record","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
"430304","סיורים מאתמול - הכנסת נתונים לגיליון נתונים יומיים ושליחה לאלינוי (גיבוי)","(no folder)","inactive","Scheduled (daily)","Pipedrive · Google Sheets · Gmail","reads deals from Pipedrive → handles deal products in Pipedrive → reads/writes Pipedrive → writes a row to a Google Sheet → sends an email","","","Can shut down now","Already inactive; no retained run history. Kept only as a record.","0","0","","",""
